City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
292,brisas de zicatela,15.8369,-97.0419,84.2,79,40,3.6,MX,2024-06-07
293,serang,-6.1149,106.1502,87.8,59,36,0.51,ID,2024-06-07
294,olds,51.7834,-114.102,59.0,70,82,3.43,CA,2024-06-07
295,khovd,48.0056,91.6419,73.4,19,5,1.75,MN,2024-06-07
296,kununurra,-15.7667,128.7333,71.6,35,0,5.66,AU,2024-06-07
297,kavaratti,10.5669,72.642,82.4,84,99,3.7,IN,2024-06-07
298,ishigaki,24.3448,124.1572,84.2,79,75,5.14,JP,2024-06-07
299,forster,-32.1667,152.5167,64.4,58,0,1.96,AU,2024-06-07
300,cabo san lucas,22.8909,-109.9124,82.4,70,0,5.92,MX,2024-06-07
301,remedios,22.4947,-79.5458,82.4,91,96,8.3,CU,2024-06-07
302,saint-joseph,-21.3667,55.6167,66.2,79,23,5.48,RE,2024-06-07
303,greenwood,34.1668,-82.1165,75.2,52,0,2.06,US,2024-06-07
304,rosarito,32.3333,-117.0333,62.6,85,56,1.8,MX,2024-06-07
305,boli,45.7667,130.5167,75.2,55,100,4.32,CN,2024-06-07
306,borkum,53.5809,6.6915,46.4,77,100,5.33,DE,2024-06-07
307,bahia blanca,-38.7196,-62.2724,57.2,58,100,3.19,AR,2024-06-07
308,arco,45.9177,10.8867,64.4,89,93,1.82,IT,2024-06-07
309,bogotol,56.2078,89.5342,51.8,88,100,3.16,RU,2024-06-07
310,quelimane,-17.8786,36.8883,66.2,96,3,2.28,MZ,2024-06-07
311,byron bay,-28.65,153.6167,66.2,47,0,0.69,AU,2024-06-07
312,campbellton,48.0075,-66.6727,53.6,99,46,2.23,CA,2024-06-07
313,san andres,12.5847,-81.7006,84.2,84,20,2.06,CO,2024-06-07
314,noumea,-22.2763,166.4572,80.6,99,90,2.04,NC,2024-06-07
315,shushtar,32.0455,48.8567,95.0,12,0,2.38,IR,2024-06-07
316,kundiawa,-6.0167,144.9667,75.2,64,96,0.73,PG,2024-06-07
317,tindouf,27.6711,-8.1474,68.0,60,0,7.2,DZ,2024-06-07
318,nogliki,51.8333,143.1667,48.2,80,100,1.94,RU,2024-06-07
319,alburquerque,39.2208,-7.0023,69.8,54,99,1.35,ES,2024-06-07
320,greymouth,-42.4667,171.2,53.6,78,88,0.61,NZ,2024-06-07
321,aasiaat,68.7098,-52.8699,32.0,86,100,6.71,GL,2024-06-07
322,el calafate,-50.3408,-72.2768,33.8,85,99,0.49,AR,2024-06-07
323,prineville,44.2999,-120.8345,82.4,21,0,6.17,US,2024-06-07
324,san ignacio,17.1561,-89.0714,89.6,70,40,5.14,BZ,2024-06-07
325,arkalyk,50.2486,66.9114,68.0,74,45,7.05,KZ,2024-06-07
326,perth,-31.9333,115.8333,62.6,84,75,3.6,AU,2024-06-07
327,aswan,24.0934,32.907,95.0,14,0,3.6,EG,2024-06-07
328,okha,53.5739,142.9478,41.0,90,100,0.89,RU,2024-06-07
329,oliva de la frontera,38.276,-6.9187,66.2,53,100,1.07,ES,2024-06-07
330,broome,42.2506,-75.833,64.4,74,88,0.89,US,2024-06-07
331,untergriesbach,48.5743,13.6673,57.2,97,94,0.56,DE,2024-06-07
332,nabire,-3.3667,135.4833,86.0,65,39,2.49,ID,2024-06-07
333,carutapera,-1.195,-46.02,77.0,92,77,2.75,BR,2024-06-07
334,plouzane,48.3833,-4.6167,44.6,91,0,1.54,FR,2024-06-07
335,el bauga,18.262,33.9081,93.2,21,2,2.15,SD,2024-06-07
336,douglas,41.3,-96.167,68.0,45,0,0.0,US,2024-06-07
337,dongkan,33.9997,119.8308,77.0,44,100,3.53,CN,2024-06-07
338,juneau,58.3019,-134.4197,46.4,89,75,4.12,US,2024-06-07
339,namsos,64.4662,11.4957,44.6,100,100,1.03,NO,2024-06-07
340,surskoye,54.4821,46.7214,62.6,89,96,2.5,RU,2024-06-07
341,buurhakaba,2.8026,44.0781,71.6,93,44,3.01,SO,2024-06-07
342,vejle,55.7093,9.5357,37.4,88,100,3.23,DK,2024-06-07
343,thunder bay,48.4001,-89.3168,55.4,82,75,5.66,CA,2024-06-07
344,priob'ye,62.5206,65.5964,51.8,62,60,4.0,RU,2024-06-07
345,radomir,42.5444,22.9578,57.2,90,0,0.45,BG,2024-06-07
